ds,y
7/3/2021,19
6/3/2021,25
5/3/2021,33
4/3/2021,17
3/3/2021,26
2/3/2021,25
1/3/2021,31
28/02/2021,31
27/02/2021,29
26/02/2021,22
25/02/2021,29
24/02/2021,22
23/02/2021,25
22/02/2021,20
21/02/2021,26
20/02/2021,21
19/02/2021,30
18/02/2021,33
17/02/2021,29
16/02/2021,39
15/02/2021,37
14/02/2021,52
13/02/2021,31
12/2/2021,43
11/2/2021,35
10/2/2021,42
9/2/2021,41
8/2/2021,37
7/2/2021,41
6/2/2021,42
5/2/2021,57
4/2/2021,34
3/2/2021,43
2/2/2021,52
1/2/2021,40
31/01/2021,32
30/01/2021,29
29/01/2021,44
28/01/2021,55
27/01/2021,41
26/01/2021,53
25/01/2021,44
24/01/2021,39
23/01/2021,68
22/01/2021,49
21/01/2021,53
20/01/2021,49
19/01/2021,61
18/01/2021,58
17/01/2021,44
16/01/2021,47
15/01/2021,48
14/01/2021,62
13/01/2021,41
12/1/2021,51
11/1/2021,53
10/1/2021,56
9/1/2021,52
8/1/2021,50
7/1/2021,53
6/1/2021,57
5/1/2021,63
4/1/2021,59
3/1/2021,42
2/1/2021,64
1/1/2021,50
31/12/2020,88
30/12/2020,74
29/12/2020,77
28/12/2020,63
27/12/2020,61
26/12/2020,64
25/12/2020,69
24/12/2020,81
23/12/2020,94
22/12/2020,102
21/12/2020,71
20/12/2020,89
19/12/2020,93
18/12/2020,85
17/12/2020,90
16/12/2020,99
15/12/2020,103
14/12/2020,100
13/12/2020,92
12/12/2020,87
11/12/2020,114
10/12/2020,95
9/12/2020,90
8/12/2020,92
7/12/2020,98
6/12/2020,86
5/12/2020,87
4/12/2020,110
3/12/2020,94
2/12/2020,117
1/12/2020,111
30/11/2020,102
29/11/2020,119
28/11/2020,119
27/11/2020,126
26/11/2020,118
25/11/2020,139
24/11/2020,123
23/11/2020,142
22/11/2020,135
21/11/2020,142
20/11/2020,171
19/11/2020,172
18/11/2020,160
17/11/2020,160
16/11/2020,195
15/11/2020,193
14/11/2020,178
13/11/2020,183
12/11/2020,172
11/11/2020,196
10/11/2020,219
9/11/2020,198
8/11/2020,210
7/11/2020,210
6/11/2020,217
5/11/2020,211
4/11/2020,201
3/11/2020,175
2/11/2020,214
1/11/2020,165
31/10/2020,177
30/10/2020,185
29/10/2020,143
28/10/2020,143
27/10/2020,130
26/10/2020,123
25/10/2020,98
24/10/2020,96
23/10/2020,92
22/10/2020,57
21/10/2020,61
20/10/2020,53
19/10/2020,55
18/10/2020,31
17/10/2020,23
16/10/2020,37
15/10/2020,38
14/10/2020,42
13/10/2020,36
12/10/2020,36
11/10/2020,28
10/10/2020,22
9/10/2020,20
8/10/2020,20
7/10/2020,20
6/10/2020,19
5/10/2020,15
4/10/2020,16
